SKU,Name,Category,Unit,UnitPrice,Barcode,Grade,Size,Thickness,MaterialType,Description,StockQuantity
SS-DEC202-1X1P2,"SS Decorative Tube 202 1"" x 1.2mm",Stainless Tubes,pc,460,8.903E+12,202,"1"" x 1.2mm",1.2mm,Decorative,"Stainless decorative tube 202 1"" x 1.2mm Decorative",0
SS-TWS202-3-4X1P2,"SS Twisted Tube 202 3/4"" x 1.2mm",Stainless Tubes,pc,362,8.903E+12,202,"3/4"" x 1.2mm",1.2mm,Twisted,"Stainless twisted tube 202 3/4"" x 1.2mm Twisted",0
SS-TWS202-1X1P2,"SS Twisted Tube 202 1"" x 1.2mm",Stainless Tubes,pc,460,8.903E+12,202,"1"" x 1.2mm",1.2mm,Twisted,"Stainless twisted tube 202 1"" x 1.2mm Twisted",0
SS-RT304-1-2X1P2,"SS Round Tube 304 1/2"" x 1.2mm",Stainless Tubes,pc,283,8.903E+12,304,"1/2"" x 1.2mm",1.2mm,Standard,"Stainless round tube 304 1/2"" x 1.2mm Standard",0
SS-RT304-5-8X1P2,"SS Round Tube 304 5/8"" x 1.2mm",Stainless Tubes,pc,405,8.903E+12,304,"5/8"" x 1.2mm",1.2mm,Standard,"Stainless round tube 304 5/8"" x 1.2mm Standard",0
SS-RT304-3-4X1P2,"SS Round Tube 304 3/4"" x 1.2mm",Stainless Tubes,pc,492,8.903E+12,304,"3/4"" x 1.2mm",1.2mm,Standard,"Stainless round tube 304 3/4"" x 1.2mm Standard",0
SS-RT304-7-8X1P2,"SS Round Tube 304 7/8"" x 1.2mm",Stainless Tubes,pc,578,8.903E+12,304,"7/8"" x 1.2mm",1.2mm,Standard,"Stainless round tube 304 7/8"" x 1.2mm Standard",0
SS-RT304-1X1P2,"SS Round Tube 304 1"" x 1.2mm",Stainless Tubes,pc,666,8.903E+12,304,"1"" x 1.2mm",1.2mm,Standard,"Stainless round tube 304 1"" x 1.2mm Standard",0
SS-RT304-11-4X1P2,"SS Round Tube 304 1 1/4"" x 1.2mm",Stainless Tubes,pc,836,8.903E+12,304,"1 1/4"" x 1.2mm",1.2mm,Standard,"Stainless round tube 304 1 1/4"" x 1.2mm Standard",0
SS-RT304-11-2X1P2,"SS Round Tube 304 1 1/2"" x 1.2mm",Stainless Tubes,pc,1014,8.903E+12,304,"1 1/2"" x 1.2mm",1.2mm,Standard,"Stainless round tube 304 1 1/2"" x 1.2mm Standard",0
SS-RT304-13-4X1P2,"SS Round Tube 304 1 3/4"" x 1.2mm",Stainless Tubes,pc,1188,8.903E+12,304,"1 3/4"" x 1.2mm",1.2mm,Standard,"Stainless round tube 304 1 3/4"" x 1.2mm Standard",0
SS-RT304-2X1P2,"SS Round Tube 304 2"" x 1.2mm",Stainless Tubes,pc,1362,8.903E+12,304,"2"" x 1.2mm",1.2mm,Standard,"Stainless round tube 304 2"" x 1.2mm Standard",0
SS-RT304-21-2X1P2,"SS Round Tube 304 2 1/2"" x 1.2mm",Stainless Tubes,pc,1710,8.903E+12,304,"2 1/2"" x 1.2mm",1.2mm,Standard,"Stainless round tube 304 2 1/2"" x 1.2mm Standard",0
SS-RT304-3X1P2,"SS Round Tube 304 3"" x 1.2mm",Stainless Tubes,pc,2058,8.903E+12,304,"3"" x 1.2mm",1.2mm,Standard,"Stainless round tube 304 3"" x 1.2mm Standard",0
SS-RT304-4X1P2,"SS Round Tube 304 4"" x 1.2mm",Stainless Tubes,pc,2753,8.903E+12,304,"4"" x 1.2mm",1.2mm,Standard,"Stainless round tube 304 4"" x 1.2mm Standard",0
SS-RT304-1-2X1P5,"SS Round Tube 304 1/2"" x 1.5mm",Stainless Tubes,pc,382,8.903E+12,304,"1/2"" x 1.5mm",1.5mm,Standard,"Stainless round tube 304 1/2"" x 1.5mm Standard",0
SS-RT304-5-8X1P5,"SS Round Tube 304 5/8"" x 1.5mm",Stainless Tubes,pc,488,8.903E+12,304,"5/8"" x 1.5mm",1.5mm,Standard,"Stainless round tube 304 5/8"" x 1.5mm Standard",0
SS-RT304-3-4X1P5,"SS Round Tube 304 3/4"" x 1.5mm",Stainless Tubes,pc,595,8.903E+12,304,"3/4"" x 1.5mm",1.5mm,Standard,"Stainless round tube 304 3/4"" x 1.5mm Standard",0
